Number,File Location,Title/Description,Date,Source Type,Priority Level for Synthesis Doc,New or Key Facts,Difference from previous assessment,Magnitude of bias - (|forecasted value - updated value|/forecasted value) x 100%,Bias rating discussion,Faster?,Worse?,Transformative Significance (# out 4),"Examples of broader implication (could do lots here, but going to give only 1 per entry as an example)",Indepedent Source Verification for 3/4s
60,Atmosphere & Solar/increase ecs.pdf,Continuous sterane and phytane ?13 C record reveals a substantial pCO2 decline since the mid-Miocene - Earth ECS might be much higher,2022,Academic/Peer-reviewed,Primary,Attempts to historically constrain ESS and ECS.  Significant deviations found from our assumptions.  13.9C for doubling ESS and 7.2C for doubling ECS,4 to 2.5 times IPCC 3C estimates,150%,We could easily be 300% here,TRUE,TRUE,4,"I hate ECS, but if we're committed to using it as a 'ceiling model', then this suggests our ceiling could be far too low.  Worse, using higher model runs by IPCC, they expect 'near term' heat growth to be quite fast, meaning we likely hit something like hit 4 or 5 C by 2100 in such a scenario (with the rest of the heat coming later).  This would mean 2C before 2035, and 3 C before 2050 likely.  And this is with only 1 doubling of CO2.  In 20 years of BAU we'll have done it AGAIN.  If 'everything continues' just 20 more years, we have 10C or more of heating coming, and this is just from ECS adjustment.  NOW add other feedbacks/tipping points and regional realities here as appropriate",Hansen
61,Atmosphere & Solar/intensification of earth energy imbalance.pdf,An intensification of surface Earth’s energy imbalance since the late 20th century,2024,Academic/Peer-reviewed,Primary,"Argues CMIP6 overestimates surface energy imbalance.  This actually means that past heating wasn't quite as bad, but current heating is worse.  IE prior to 1995, EEI might have been lower, but to get to current numbers recent heating must be worse",Argues that heating is accelerated from CMIP6 assumptions,50%,50 - 200% range,TRUE,FALSE,3,"I like this, so I should doubt it.  BUT if its true, we have some evidence again that past poor assumptions have hidden current real truths",Multiple CMIP6 errors
62,Atmosphere & Solar/ipcc estimates.jpg,Glen Peters AR6 CH4 estimates,2025,Academic/Peer-reviewed,Primary,Earth CH4 is tracking just below C8 or >4C pathway in 2024,"All pathways but most extreme are being surpassed.  Is CH4 special then, or are general pathways also matching?  Both are bad in different ways",,,TRUE,FALSE,3,Increase CH4 due to humans > we're not tracking well > more errors in our knowledge and synthesis.  Increased CH4 from environment > we're not in control > more errors in our synthesis,Multiple
63,Atmosphere & Solar/kornhuber-et-al-2024-global-emergence-of-regional-heatwave-hotspots-outpaces-climate-model-simulations.pdf,Global emergence of regional heatwave hotspots outpaces climate model simulations,2024,Academic/Peer-reviewed,Secondary,Tail widening of extreme events is needed.  Nonlinear events are occuring,4x for >.5C/decade heating,300%,,TRUE,TRUE,4,"We have ignored or removed long tail possibilities from modeling and forecasts, by a huge margin.  We reached >.45C in a year, meaning from just 2023 we've got a 4x increase in the tail end possibilities we need to adjust to…length and depth",The most at-risk regions in the world for high-impact heatwaves
64,Atmosphere & Solar/lowball-estimates-using-linear-rates-of-increase-show-v0-3iva9megyb6f1.webp,"Global Warming has accelerated significantly, Leon Simons",2025,Academic/Peer-reviewed,Secondary,"heating analysis from different models.  Most have crossed 1.5C by 2026, and rates of .39 to .48/C per decade","All say 2C before 2040, by 3 years average",55%,If we take 'general' decadal increases,TRUE,TRUE,3,,Observation
65,Atmosphere & Solar/modelling ship emissions to match heat.pdf,Modeling 2020 regulatory changes in international shipping emissions helps explain anomalous 2023 warming,2024,Academic/Peer-reviewed,Secondary,"Claims 2023 heat is in large part due to SO2, setting forcing at .14+/-.07 w/m2.","CMIP6 does not take these forcings into account, potentially missing 20% of forcings?  Numbers do not completely agree with Hansen",20%,,FALSE,TRUE,2,,
66,Atmosphere & Solar/preview (1).webp,Leon Simons EEI El Nino,2024,Academic/Peer-reviewed,Secondary,.07 w/m2 difference in el ninos?,"a strong el nino had less of an effect that a weak one, this implies we've got acceleration of background heating beyond enso effects",,,FALSE,TRUE,2,"Could el ninos be getting stronger themselves?  Because otherwise the heating in the rest of the system is increasing.  Both could be happening, but I've not seen good research on el nino/la nina effects changing with system change",
67,Atmosphere & Solar/solarcycle25b.webp,Space Weather Prediction Center 24 cycle prediction,2020,Academic/Peer-reviewed,Secondary,A forecast of solar cycle 25 from NASA,actual solar cycle is nearly 2x predicted,75%,,FALSE,TRUE,1,,
68,Atmosphere & Solar/state of the climate 2023.pdf,The 2023 state of the climate report: Entering uncharted territory,2023,Academic/Peer-reviewed,Secondary,observational data,Coal use is surging despite commitments.  COVID emissions drop was temporary.  Growth and emissions are linked.  No green transition at scale (jevon's paradox).  Carbon pricing inadequate,,,TRUE,TRUE,1,More commitments than ever > more coal use than ever > increased comfort for 'not keeping promises' > more people 'expecting more of the same'?,
69,Atmosphere & Solar/trends in regional weather.pdf,Strong regional trends in extreme weather over the next two decades under high- and low-emissions pathways,2023,Academic/Peer-reviewed,Secondary,"Even under 1to1.9 heating, 20% of world will face 2 standard dev weather events.  By highest pathway 91% of general population will experience weather changes","States that 'safe' locations are likely unreal, as everyone experiences weather changes by highest pathways",20%,20% to 91% of folks to suffer greater than usual weather.,FALSE,TRUE,3,bad weather everywhere > expansion of territory for bad weather > more damage as areas must 'adapt' to ever increasing amount of risks > higher costs for adaptation OR no adapatation and thus more damage > higher costs,Multiple
70,Atmosphere & Solar/trends in surface equivalent.pdf,Trends in surface equivalent potential temperature: A more comprehensive metric for global warming and weather extremes,2022,Academic/Peer-reviewed,Secondary,addition of humidity and water enthalpy to heat equations for temperature.,"4.8C is IPCC at 2100.  They get 12C in many locations and 24C in 5%.  This would be a factor of 3x to 6x, with 6C wet bulbs appearing over entire areas of earth.  Likely this suggests lethal conditions appearing almost any moment in spots, and regional by 2040s",200%,General rather than regional high ones,TRUE,TRUE,4,"This doesn't immediately build with all regional surveys, as some of them take this into account much better.  But when pure raw temp is used, we have lots of errors if this is accurate.  And I'm willing to immediately marry this up with studies on wet bulb being 'worse than assessed.'  Which means wet bulb events are occuring at small scale now and will balloon rapidly with even small spreads in heat.  And 20+ studies suggest we're getting worse than IPCC levels...Also now please consider how much of earth's (necessary) fossil fuels and rare earths come from nations at increased risk, which means 'it's not just africa' it's africa + any country that depends on africa.  Or say the middle east.",Multiple - Web bulb observations
71,Atmosphere & Solar/unprecedented heatwaves.pdf,Storylines for unprecedented heatwaves based on ensemble boosting,2022,Academic/Peer-reviewed,Secondary,Ensemble boosting for existing models is suggested to better fit chaotic conditions.,"Heatwaves of 6 to 7C are already possible over Chicago as an example.  PNW events become visible this way, suggesting greater chaos and intensification than existing models.  This suggest more atmospheric and soil pertubations must be considered",900%,"PNW was 8C and often considered a 1 in 100,000 year event (or more). This is 10x to 100x more common than we think",TRUE,TRUE,3,"Confirmation of some soil/air interactions and crazy heat resulting, suggestive of nonlinear events in the 'now', that just haven't manifested.  Now if such events are >4x more likely with each .5C or so, we're really summoning up the chaos",2021 North American Heatwave Amplified by Climate-Change-Driven Nonlinear Interactions
72,Atmosphere & Solar/us oil and gas emissions.pdf,US oil and gas system emissions from nearly one million aerial site measurements,2022,Academic/Peer-reviewed,Secondary,methane loss rates from wells are underestimated by several magnitudes.,"Methane loss rate is 3% (3x higher than EPA estimates), and 9% in some specific places.  Total amount loss is like 6.2 metric tons (about as much as Mexico's total emissions)",200%,,FALSE,TRUE,3,local methane release > local pollution > worse health outcomes > regional health deficits AND a company that wants to 'hide' pollution for twice as many reasons!,Observation
73,Biosphere/US honeybee deaths hit record high.rtf,"Article documenting record honeybee colony losses in US with 60% winter mortality reported, explores causes including varroa mites, diseases, climate change, and pesticides, notes Trump administration staff cuts affecting research capabilities",2025,Government,Primary,60% loss of honey bee populations in 66% of total surveyed -2025,previous loss was 50%,28%,,FALSE,TRUE,2,"Rough estimates, and no clear cause quite yet.  Does appear to be multinational > climate/chemical/exposure?",
74,Biosphere/algae bloom kangaroo island.rtf,"Detailed report on catastrophic marine ecosystem collapse in South Australia due to toxic algal blooms fueled by marine heatwaves and climate change, documenting mass deaths of protected species including sea dragons and widespread impact on marine life",2025,News/Media,Primary,"First of algae bloom reports, unexpected ocean heating + anoxia",1st event of this size in kangaroo island - will go on to last months and grow by many orders,,"Almost put 5000% here, due to difference in sizes to prior blooms, but no evidence anyone ever said this was impossible. Just unlikely. Unprecedented is being swung around though, and sea temps were outside expectations. But not THAT far, meaning this is likely a compound event (unexpected anoxia + ocean overturning + MHW + favorable species conditions)",FALSE,TRUE,3,"Almost put 5000% here, due to difference in sizes to prior blooms, but no evidence anyone ever said this was impossible.  Just unlikely.  Unprecedented is being swung around though, and sea temps were outside expectations.  But not THAT far, meaning this is likely a compound event (unexpected anoxia + ocean overturning + MHW + favorable species conditions)",Observation
75,Biosphere/beekeepers sound alarm.rtf,"Report on severe honeybee colony losses with estimates of 1.25 million colonies lost since June 2024, commercial beekeepers reporting 60%+ losses, impacts on California almond pollination and comparison to past Colony Collapse Disorder events",2024,News/Media,Primary,70 to 100% loss in places - 2025,previous loss was 50%,50%,"50 to 100% error, over previous. Let's go low",FALSE,TRUE,2,"increased heat stress + pollinator loss > lower yields > more inflation + local distress > more refugees > more political distress.  How strong?  Probably not very, but it does make one wonder to what degree it could contribute as it grows",
76,Biosphere/entymologists thinking too conservatively.rtf,"Comprehensive article on catastrophic insect population collapse in protected nature reserves due to climate change, featuring research by Daniel Janzen showing 2% annual decline rates, discusses cascading effects on birds and ecosystem collapse",2025,News/Media,Primary,1 to 2% loss per year was assumption before,2 to 5% minimum is actual,100%,,TRUE,TRUE,4,"We were thinking too conservatively' might as well be my title.  I feel for these folks, I do.  And it can't be 5% loss per year, or they'd ALL be gone.  But what I'm worried about, maybe it WAS 1 or 2 then, and 5 now.  Because that would imply there are only a few years left at that rate?  Compare this to coral rates, or WWF general rates, and we see similarity/confirmations",Multiple/Observation
77,Biosphere/microplastics hinder plant photosynthesis.rtf,"Study showing microplastics significantly reduce plant photosynthesis by 12% and marine algae by 7%, estimates 4-14% loss in global wheat, rice and maize production, potentially increasing starvation risk for 400 million people",2025,Academic/Peer-reviewed,Primary,microplastics are hindering photosynthesis systemically and directly,12% of terrestrial plants and 7% of algae photosynthesis lost.  4 to 14% crop loss,10%,,FALSE,TRUE,4,"When does the microplastic problem start (year), which is what we'd need to calculate rate.  In 2010 it was almost not known, so is that .5% or 1% loss per year?  Or is it likely to be accelerating alongside the fragmentation rate, so…2% a year recently?  So what, in 10 years plants are down another 10 to 20%?  The math here is just so...unconducive to a web of life and in a very short amount of time.  Good the algae is slower...maybe we go soylent here","Multiple on plastic trajectory, algae confirmation"
78,Biosphere/2023 summer canadian wildfires.pdf,Investigating the vertical extent of the 2023 summer Canadian wildfire impacts with satellite observations,2023,Academic/Peer-reviewed,Secondary,Very little stratospheric penetration from 2023 fires,Likely little to no general cooling from the 23 canada fires,,,FALSE,FALSE,3,"Chaos reigns, and we shouldn't assume events follow any specific paths.  I still don't think we've described this event well enough to 'know' it",Observation
79,Biosphere/2percent change of biomass in oceans per year.pdf,"Large, regionally variable shifts in diatom and dinoflagellate biomass in the North Atlantic over six decades",2025,Academic/Peer-reviewed,Secondary,Model assumptions on animal biomass in the oceans.  Notably does not track plankton well,Suggests only 17% total drop by 2100 in high emissions pathways.  Something like .2% a year,,"We are seeing 2% drops per YEAR in other studies. That's a potential 10x error. Not going to place, but this is possible",TRUE,TRUE,2,"Current observations are less than this?  How is that possible?  Are observations not normalizeable to all species, or is this alternatively giving very conservative assumptions?",
80,Biosphere/6_EN.png,"Canadian seedlings planted per year, CA forestry",2022,Government,Secondary,area planted and seedlings planted are slowly dropping over the past 40 years,"reforestation in Canada is not increasing, but decreasing steadily",,,FALSE,TRUE,2,"Whenever I hear about reforestation, I think of Canada, a country with a long history of forestry service.  It was a common summer job once upon a time, but has declined faster than population growth even",
81,Biosphere/Dr. Dryden & The Missing Plankton_ science,"Dr. Dryden & The Missing Plankton: science, media & climate activism",2024,News/Media,Secondary,Report on the process and response to a synthesis on multi-causal effects of possible plankton loss in the ocean,"Backlash with methodology, though ironically no one has a problem with the theory of pfos + microplastics + acidification, just that it could cause so much damage so 'fast'",,,FALSE,FALSE,3,"Don't say something extreme, you will be pounced on 100x faster than if you something too conservative.","Confirmation of theory and population losses, though no confirmation on his population numbers"
82,Biosphere/UNU-INWH-Policy-Brief-Wildfire-May-2025.pdf,Beyond Planting Trees: Taking Advantage of Satellite Observations to Improve Forest Carbon Management and Wildfire Prevention,2025,Government,Secondary,"wildfires are adding to co2 in atmosphere, and being mislabelled as carbon neutral or negative",Wildfires are contributing greatly to global warming.  Feedback loop may have activated,,,FALSE,TRUE,3,"more than soot > ice loss, or tree loss > proximal permafrost loss, wildfire > soil loosening > water changes have fascinated me.  Flash floods in the arctic circle yes?  What does flooding due to permafrost but melt it?",Multiple
83,Biosphere/artic ocean bacterial changes.pdf,A multiyear time series (2004–2012) of bacterial and archaeal community dynamics in a changing Arctic Ocean,2024,Academic/Peer-reviewed,Secondary,Measurements of bacteria richness in the arctic,"5 to 10% (or more) drops in bacterial richness over 9 years, ending in 2012",,,TRUE,TRUE,3,"So the thing I never got about the 'relying on methanotrophs' idea?  Methanotrophs are usually quite social for bacteria, and require a fair number of other helpers to get prerequisite micronutrients assembled.  So even if they surge with methane, what happens when none of the other bacteria are surging?  Or hell, even present?  Also this was 2012 (couldn't find more recent) so imagine the losses that might have happened since...",Multiple
84,Biosphere/canada fires so far.jpg,Canadian Wildfire by year,2025,Government,Secondary,2025 has the 2nd worst start to forest fires ever.,2023 was 300% more fires than any other year,200%,,FALSE,TRUE,3,When do record forest fires become 'expected'?  Already right?,Multiple
85,Biosphere/climate regulating organisms being destroyed by pollution.pdf,"Climate regulating ocean plants and animals are being destroyed by toxic chemicals and plastics, accelerating our path towards ocean pH 7.95 in 25 years which will devastate humanity",2021,Academic/Peer-reviewed,Secondary,Challenge on ocean/life behavior.  Dryden/GOES report,"50% of marine phytoplanktons gone in 70 years, 1% a year rate in 2021.  Ocean ph of 8.04 in tested areas",50%,,TRUE,TRUE,3,"I calculate this just as an 'assumption cost'.  What if he's right, and we're expecting 50% more life then we should?  That's his assumption, and we can throw it on and consider.  And while I don't entirely trust his observations, for once his theory is right on point.  Which makes me wonder...what if he's right?","Populations changes are confirmed, size isn't.  However theory is quite strong  Regime shifts occur disproportionately faster in larger ecosystems"
86,Biosphere/destruction of life by ocean acidification.pdf,"Climate regulating ocean plants and animals are being destroyed by toxic chemicals and plastics, accelerating our path towards ocean pH 7.95 in 25 years which will devastate humanity",2021,Academic/Peer-reviewed,Secondary,microplastics + pfos + ocean acidification may be effecting some north atlantic plankton populations precipitiously,>90% drop in plankton numbers.  Large 'backlash' and assumptions he must be wrong,90%,,TRUE,TRUE,3,"Maybe there are 'areas' of mass death?  Why not, if we assume nonlinear accumulations of the base stressors.  To be frank sounds a lot like what some of the ocean PH studies show, areas of super acidic saturation.  Also matches the anoxic patterns we get sometimes.  Seems odd we'd miss this, but we're missing other things too","Populations changes are confirmed, size isn't.  However theory is quite strong  Regime shifts occur disproportionately faster in larger ecosystems"
87,Biosphere/marine zooplankton.pdf,Marine zooplankton acclimated to geological warming while facing 6 limits by the next century,2022,Academic/Peer-reviewed,Secondary,Current warming is surpassing ability for a species of plankton to adapt.  Saturation of adaptive capacity,Estimate of 5 to 12% drop in total numbers by 2100 under 'standard' pathways,12%,,TRUE,TRUE,3,"This under standard pathways, which are gone, so we have to assume even higher.  And damn, but doesn't it make sense.  We change too many variables at once and genetic based adapation simply cannot keep up.  The HIV drug treatment pattern",Multiple
88,Biosphere/regime shifts faster in larger ecosystems.pdf,Regime shifts occur disproportionately faster in larger ecosystems,2020,Academic/Peer-reviewed,Primary,"Regime shifts may actually be inverse to the size of the system, IE larger systems may overturn FASTER than smaller ones.","as an example, ~70% biomass loss in just a few years over >500,000 km².",,,TRUE,TRUE,4,"Not scoring this, though I desperately want to.  In essence we need to understand that in biological systems, treating a species as separate than its environment is just unrealistic modelling.  We've never encounted even penguins without other life 'nearish'.  And that's the most extreme complex example we have.  To pretend that a species doesn't rely on other species is to ignore the vast amount of connections most OTHER species require.  Likewise, biological lifeforms have CHEMICAL threshholds, and these tend to be nonnegotiable if an adaptation doesn't already exist.  This is extinction debt, all the food eaten but much of the herd 'still alive'.",Multiple
89,Biosphere/what survived pt extinction.pdf,Refugium amidst ruins: Unearthing the lost flora that escaped the end- Permian mass extinction,2025,Academic/Peer-reviewed,Secondary,Possible refugia during P/T extinction.,"Likely survived extinction or at least became diverse by 75,000.  Helped repopulate the planet.  Some signs of local climatic stability (at least compared to assumptions)",,,FALSE,TRUE,3,"This is almost a 4.  Why?  P/T was the worst extinction we had, AND there apparently was at least one refugia, AND it still killed 96% of terrestrial life.  And we are so much worse, doing more in 200 years, and so widespread its hard to imagine what sort of refugia might exist...anywhere on land",Observation
90,Chemical/41545_2023_274_Fig4_HTML.webp,PFOS map,2025,Unknown,Secondary,PFOA and PFOS levels in the world,"Of note, richer countries are generally 'more exposed'",,,FALSE,TRUE,3,"The rich countries are always safe is an assumption.  But what if the source of chaos is based in manufacturing, or consumption, or usage?  Well then won't rich countries be the most exposed?  If there are threshhold exposures we'll likely hit them first for sure",Multiple
91,Chemical/A Valuable Reputation _ The New Yorker.pdf,A valuable reputation,2014,News/Media,Primary,"Company funds research, then goes after researcher when they do not approve of conclusions",Atrazine is unsafe at EPA 'safe levels' and has effects on sexual dimorphism/male functioning in frogs.  Eventually atrazine is banned,,,FALSE,TRUE,4,"The entire pipeline of endocrine disruptor > pollution > prenatal/mother exposure > fetal changes > infant changes is well established in every animal.  Why are we resistant to it in us?  Because we are 'special'?  Conservative bias I say.  Don't let what you want infect what you know. If something can effect neurological or hormonal development, it can effect us.","Multiple, including EPA verification"
92,Chemical/GeoHealth - 2025 - Centeno - Hypereutrophication Hydrogen Sulfide and Environmental Injustices Mechanisms and Knowledge.pdf,"Hypereutrophication, Hydrogen Sulfide, and Environmental Injustices: Mechanisms and Knowledge Gaps at the Salton Sea",2025,Academic/Peer-reviewed,Secondary,"Hydrogen Sulfide is a larger problem than government assesses, with oversized effects on marginalized communities","177 hrs from community, vs 4 'official'",4325%,"Yeah it's huge, but I'm using it. When 2 forces both have reasons to overestimate, use the number that involves people at risk",FALSE,TRUE,2,"It's amazing how often numbers like this show up in environmental science.  Are the exposed trying to 'overprove' and thus fake their exposure?  Is someone else trying hard not to find the exposure?  Of interest to me, both are often suggested.  So we really have no problem throwing accusations of bias around, do we?  Why?  Is it because it's often there?",
93,Chemical/PFAS-Waste-Management-Market-1024x608.jpg,Global PFAS waste management market us.market,2025,News/Media,Primary,PFOS waste management market (investment expectations),"6.4% growth expected per year, above background growth implying continued production and demand for waste management (although real waste management isn't in place yet?)",,,FALSE,TRUE,3,"Considering we don't have the tech to completely nullify this yet, I take these market growths to be indicators of how much they expect pfos exposure itself to grow.  Could be a wrong assumption",Multiple
94,Chemical/acs.est.1c00353.pdf,Near-Quantitative Defluorination of Perfluorinated and Fluorotelomer Carboxylates and Sulfonates with Integrated Oxidation and Reduction,2021,Academic/Peer-reviewed,Secondary,Method to defluorinate several types of forever chemicals,Not suitable for use in a home environment.  Likely 2k+ per 'household set up' and need a chemistry degree,,,FALSE,TRUE,1,"THIS is why I think the pfos exposure only goes up - yes we can get rid of it, for thousands of dollars and a phd per single 'treatment'.  Maybe this can get made cheap and fast though, here's hoping",
95,Chemical/combined toxicity.pdf,Combined toxicity of perfluoroalkyl substances and microplastics on the sentinel species Daphnia magna: Implications for freshwater ecosystems,2024,Academic/Peer-reviewed,Secondary,Assessment of combination of pfos + microplastics on a single species,100% synergestic by adult ages,,,TRUE,TRUE,4,"Unless we get lucky and pollutants only effect the exact same cells in the exact same ways, we will always get some form of synergy.  Maybe positive, likely negative.  Remember that plastic is used mostly because it doesn't degrade…which means it escape cellular processes.  That's why we use it.  Now imagine synergy of heat exhaustion and chemical exposure.  Or neuroinflammation from microplatics added to endocrine disruption of pfos/plastic, all in a fetus.  This is our autism and so much else",SOLUTIONS multiple
96,Chemical/mixture risks threaten water.pdf,Mixture risks threaten water quality:the European Collaborative Project SOLUTIONS recommends changes to the WFD and better coordination across all pieces of European chemicals legislation to improve protection from exposure of the aquatic environment to multiple pollutants,2024,Government,Secondary,Assessments of Joint toxicity,Some compounds that are 'human' inert on their own can become dangerous in combinations.  No mechanism exists for 'combined risk' compounds,,,FALSE,TRUE,4,"In the chemical world always err on it can hurt you.  Why?  There are more chemicals that can hurt you, than harm you, when introduced randomly.  Now take that danger, and realize that it'll grow when we add interactions and infinite combinations.  Now add heat and humidity shifts on top of normal on top of them, and more chance for chemical reactivity and biological uptake",Combined toxicity of perfluoroalkyl substances and microplastics on the sentinel species Daphnia magna: Implications for freshwater ecosystems
97,Chemical/wss-nitrogen-map-us-risk-areas.jpg,Nitrogen pollution map - USGS,2022,Government,Primary,Map of nitrate/nitrite pollution,"1/3 of America under high levels, mostly in major crop aquifers.  Hundreds of millions effected",,,FALSE,TRUE,3,"Really this number should be a lot larger, but let's go with this for now.  Why?  Nitrate pollution might be unsafe at any level, not just the EPAs level.  If that's true…well anyone drinking it thinks they're safe, when they're not, yes?",EU regulations - cancer studies
98,Companies & Inequality/crowdstrike outage.rtf,"Extensive documentation of the July 2024 global IT outage caused by faulty CrowdStrike update affecting 8.5 million Windows systems, details widespread disruptions to airlines, hospitals, banks, and critical infrastructure with estimated $10 billion in damages",2024,News/Media,Primary,One errored update hit the entire world at the same time,"8.5 million devices, 60% of Fortune's 500 were customers, UK lost at least 3 billion, 2/3 of all north ireland GPs affected, etc",,,TRUE,TRUE,4,"less companies + less employees > more automation > easier to update but also easier to mal-update > higher upside AND downside, yes?  More variance.  Look at how much nonlinearity is already in the physical systems, and understand we are adding nonlinear responses on top of those in our own systems.",Observation
99,Companies & Inequality/why appliances die young.rtf,"Analysis of declining appliance durability and lifespan, examining complex factors including increased technological complexity, government regulations, global trade price wars, and consumer demand for features, debunking myths about 30-year appliances",2024,Government,Secondary,"Lifespan averages, electronics especially are shorter-lived.  11 to 16 years average lifespan in 2010",9 years later average lifespan is 9 to 14 years,22%,,TRUE,TRUE,2,"Obsolence is apparently a thing, and has increased.  This might be a stealth increase in consumption but it also is a stealth downgrade in infrastructure, right?  How long do items last in shortages?  Long enough for return to function?",
100,Companies & Inequality/Fossil Fuel Billionaires Are Bankrolling the Anti.docx,Fossil Fuel Billionaires Are Bankrolling the Anti-Trans Movement,2025,News/Media,Primary,80% of 45 major anti trans groups have received fossil fuel funding.,,,,FALSE,FALSE,2,"Linking of political priorities is a very odd thing.  What if you're suddenly quite wrong about one of them, and very right about the other?  Can you disentangle them, or does an outsider come out and double down on your previous rhetoric?  What if we find out that trans prevalence can be influenced by fossil fuel pollution?  Do we keep funding fossil fuels and protect trans youth, or do we lock up trans youth too?",
101,Companies & Inequality/GEP-June-2025.pdf,World Bank - Global Economic Prospects,2025,Academic/Peer-reviewed,Secondary,Analysis of global GDP.,Global GDP is 2.3% (less than inflation) and lowest since 2008,,,TRUE,TRUE,2,"If GDP has been below inflation for five years, and below the global birth rate (or near it), haven't we been…effectively shrinking for five years?  And here's the fun thing, GDP numbers are regularly lied about and I have reason to believe birth numbers are inflated.  We might have peaked already, and no one is noticing?  Notice as an example that the growth in debt is greater than the growth in GDP.  So yeah, it might be even worse",
102,Companies & Inequality/GtFWwlcXMAAkKLE.jpg,Paulsen Perspective - World Bond,2025,News/Media,Secondary,Comparing values of stocks and bonds,"Bond markets are now at 1974 levels of valuation vs stocks, 70% vs highs of 220%",,,FALSE,TRUE,1,Less money in governments > more investment in companies > companies going more private > less clarity in markets for anyone (including the investors) > more danger/minsky moments,
103,Companies & Inequality/GtRdTXObMAAkZn3.jpg,Congressional Budget Office,2025,Government,Secondary,Analysis of benefit effects for different income groups for 2025 changes,"Money going towards the wealthiest, while bottom tiers actively lose wealth (2.5% vs -4%)",,,FALSE,FALSE,3,"Governments have been complicit with rising inequality of course but doesn't lead to a strange observation, more inequality > more societal instability (in some countries) > more government instability.  The same platform that gives the power is changing hands more rapidly.  Maybe it doesn't matter when all options are still of the rich class?",Repeat of 2016 administration
104,Companies & Inequality/industries-showing-a-decline-in-new-companies-created-each-v0-foi5p130kldf1.webp,Slowdown in new business by year,2024,Academic/Peer-reviewed,Secondary,"noticeable and continuing decline in new business since 2020, not reversing as of 2023",General declines of 90% to 76%,10%,,FALSE,TRUE,3,"Less businesses is against growth forecasts, or at least traditional economic models countries have of themselves.  Tracking GDP with corporate consolidation has always been a catch-22, but maybe we're fine describing GDP as only adding workers and not owners?  Still less new business > less local fees > even greater deficits in local governments",Observation
105,Companies & Inequality/agi dictator.rtf,"Elon Musk wants to be “AGI dictator,” OpenAI tells court",2024,News/Media,Secondary,Fights between oligarchs and AI companies,"100 billion 'fake' offer for OPENAI, who claims Musk wants to be an AGI dictator",,,FALSE,FALSE,2,"Oligarch gamesmanship is not new, but here is an individual is openly participating in governments, multinational corporate practices and disruptions all over.  He appears to have power outside traditional roles of the last 50+ years, is this a sole incident?  Or a trend?",
106,Companies & Inequality/credit markets go dark.pdf,The Credit Markets Go Dark,2024,News/Media,Primary,"large, non-bank investment vehicles start to dominator",private credit grown 500% (at least) between 2010 and 2023.  4000% from 2000,,,FALSE,TRUE,3,"Private credit is almost impossible to assess given how much of it might be 'dark'.  But again this means governments appear ok with a significant amount of activity in their nation not being transparent, assuming this will be 'fine', rather than a risk.",Multiple
107,Companies & Inequality/ig2kaqk45l2e1.jpeg,DIME party contributions for 2024,2025,News/Media,Secondary,Percentage of total donations that come solely from top 400 for each party by year,60% of all money to republicans in 2024 came from just top 400 donors.  Up 20% from just 2022,,,FALSE,FALSE,2,"Probably just the rise of PACs?  But they're new structures to the US system, and it's interesting to see their evolution and lack of consistent oversight",
108,Companies & Inequality/twitter control.jpg,CAP Action twitter engagement by subject,2025,News/Media,Secondary,Top 25 accounts map for twitter,Elon Musk and right-leaning (or even alt-right) accounts dominate top 25.  Elon Musk bigger than all other assessed accounts combine,,,FALSE,FALSE,1,,
109,Companies & Inequality/'Enshittification' is coming for absolutely everything.pdf,‘Enshittification’ is coming for absolutely everything,2024,News/Media,Secondary,Theory and observations on corporate decline of services in order to maintain or create increasing profits,"12,000 google employees laid off 8 months after stock buyback that could have covered all salaries for 27 years",,,FALSE,TRUE,2,"search for quick profit > cut employee headcount drastically > annouce savings > create stock boost.  Lots of ways to change that equation, but what's interesting, as stock values go up, the more efficient it is to raise any amount of money you need by manipulating stock prices.  Why take out loans when you can issue more stocks at a high value?  Or take your existing stocks and sell more of them at 'prearranged' points.  I've no idea how often this happens, but again the 'efficiency' of just one or two times rises mammothly the more your compay is worth",
110,Cryosphere & Poles/1st ever alaska heat advisory - Copy.rtf,"National Weather Service heat advisory for Alaska with temperatures up to 86Â°F expected in Fairbanks area, represents unprecedented heat event for the region with warnings about heat-related health impacts for unacclimatized populations",2025,Government,Secondary,1st ever heat advisory issued in Alaska by NWS,86F warning for 1p to 7p,,,TRUE,TRUE,2,,
111,Cryosphere & Poles/artic above freezing in february.rtf,"Report on extreme Arctic warming event with North Pole temperatures reaching above freezing (32Â°F) in February 2025, representing 36Â°F above average, discusses Arctic amplification feedback loops and accelerating ice loss impacts",2025,News/Media,Secondary,"Listing of 3 events of 32F or above during winter at the north pole, all since 2018","32F (just above freezing) at the north pole in February, following an event in Dec, and several days above freezing in 2018",,,TRUE,TRUE,3,,Observation
112,Cryosphere & Poles/6.16.211.pdf,Global Monitoring Laboratory CH4,2023,Academic/Peer-reviewed,Secondary,insitu CH4 arctic gas measurements for 2022,1975 ppb,,,FALSE,FALSE,2,,
113,Cryosphere & Poles/6.16.212.pdf,Global Monitoring Laboratory CH4,2023,Academic/Peer-reviewed,Secondary,insitu CH4 arctic gas measurements for 2022,2000 ppb,,,FALSE,FALSE,2,,
